"league_id","meta_type","meta_key","meta_keyid","meta_value","meta_source"
1,source_team_id,ADELAIDE 36ers,10000,"111837",espn
1,source_team_id,Eastern Conf All-Stars,10000,"31",espn
1,source_team_id,World,10000,"111386",espn
1,source_team_id,Team Giannis,10000,"112151",espn
1,source_team_id,Real Madrid,10000,"132",espn
1,source_team_id,Maccabi Haifa,10000,"142",espn
1,source_team_id,Alba Berlin,10000,"145",espn
1,source_team_id,FC Barcelona,10000,"16051",espn
1,source_team_id,Tel Aviv Maccabi,10000,"37211",espn
1,source_team_id,Real Madrid,10000,"66329",espn
1,source_team_id,Fenerbahce Ulker,10000,"105236",espn
1,source_team_id,Flamengo,10000,"108597",espn
1,source_team_id,Milan Olimpia,10000,"109596",espn
1,source_team_id,Paschoalotto Bauru,10000,"109640",espn
1,source_team_id,San Lorenzo,10000,"109850",espn
1,source_team_id,Buenos Aires San Lorenz,10000,"110296",espn
1,source_team_id,Shanghai Sharks,10000,"110305",espn
1,source_team_id,Sydney Kings,10000,"111122",espn
1,source_team_id,Brisbane Bullets,10000,"111123",espn
1,source_team_id,Melbourne United,10000,"111124",espn
1,source_team_id,Guangzhou Loong-Lions,10000,"111136",espn
1,source_team_id,Team LeBron,10000,"111353",espn
1,source_team_id,Team Stephen,10000,"111354",espn
1,source_team_id,USA,10000,"111387",espn
1,source_team_id,Beijing Ducks,10000,"111834",espn
1,source_team_id,Perth,10000,"111835",espn
1,source_team_id,New Zealand Breakers,10000,"111836",espn
1,source_team_id,Franca,10000,"112638",espn
1,source_team_id,Team Durant,10000,"123554",espn
1,source_team_id,Melbourne Pnx,10000,"126120",espn
1,source_team_id,Cairns Taipans,10000,"126121",espn
1,source_team_id,Ra'Anana,10000,"126689",espn
1,source_team_id,Ulm,10000,"130136",espn
1,source_team_id,Team Chuck,10000,"130579",espn
1,source_team_id,Team Shaq,10000,"130580",espn
1,source_team_id,Team Kenny,10000,"130581",espn
1,source_team_id,Team Candace,10000,"130754",espn
1,source_team_id,Hapoel Jerusalem,10000,"131570",espn
1,source_team_id,Team Stars,10000,"132374",espn
1,source_team_id,Team Stripes,10000,"132375",espn
1,source_team_id,Western Conf All-Stars,10000,"32",espn
1,source_team_id,Boston Celtics,11101,"2",espn
1,team_name,,11101,BOS,kalshi
2,team_name,,11101,Boston Celtics,the_odds_api
1,source_team_id,Brooklyn Nets,11102,"17",espn
1,team_name,,11102,BKN,kalshi
2,team_name,,11102,Brooklyn Nets,the_odds_api
1,source_team_id,New York Knicks,11103,"18",espn
1,team_name,,11103,NYK,kalshi
2,team_name,,11103,New York Knicks,the_odds_api
1,source_team_id,Philadelphia 76ers,11104,"20",espn
1,team_name,,11104,PHI,kalshi
2,team_name,,11104,Philadelphia 76ers,the_odds_api
1,source_team_id,Toronto Raptors,11105,"28",espn
1,team_name,,11105,TOR,kalshi
2,team_name,,11105,Toronto Raptors,the_odds_api
